"","Palabra","Puntuacion","Word","id","screenName","Fecha","Hora","favoriteCount","retweetCount","Tipo"
"1","abrazo",2,"hug",1335629389900484608,"ClaudiaPavlovic",2020-12-06,"16:57:16",53,15,"Positiva"
"2","abrazo",2,"hug",1329167620038389760,"ClaudiaPavlovic",2020-11-18,"21:00:30",111,24,"Positiva"
"3","abrazo",2,"hug",1317177287708639232,"ClaudiaPavlovic",2020-10-16,"18:55:12",347,125,"Positiva"
"4","abrazo",2,"hug",1310800777892392960,"ClaudiaPavlovic",2020-09-29,"04:37:13",199,127,"Positiva"
"5","abrazo",2,"hug",1306699287724785664,"ClaudiaPavlovic",2020-09-17,"20:59:22",103,29,"Positiva"
"6","abrazo",2,"hug",1299398920997486592,"ClaudiaPavlovic",2020-08-28,"17:30:19",56,24,"Positiva"
"7","abrazo",2,"hug",1320096293134299136,"lopezobrador_",2020-10-24,"20:14:17",11909,2174,"Positiva"
"8","abrazo",2,"hug",1337249427623473152,"CelidaLopezc",2020-12-11,"04:14:43",21,3,"Positiva"
"9","accidente",-2,"accident",1336118678048436224,"CelidaLopezc",2020-12-08,"01:21:31",265,31,"Negativa"
"10","aceptado",1,"accepted",1314797738786201600,"CelidaLopezc",2020-10-10,"05:19:43",47,15,"Positiva"
"11","aceptado",-1,"admitted",1314797738786201600,"CelidaLopezc",2020-10-10,"05:19:43",47,15,"Negativa"
"12","aceptar",1,"accept",1311869155948158976,"ClaudiaPavlovic",2020-10-02,"03:22:34",42,33,"Positiva"
"13","aceptar",1,"accepting",1311869155948158976,"ClaudiaPavlovic",2020-10-02,"03:22:34",42,33,"Positiva"
"14","acuerdo",1,"agreement",1335365686932148224,"ClaudiaPavlovic",2020-12-05,"23:29:24",117,60,"Positiva"
"15","advertencia",-3,"warning",1305558223102136320,"ClaudiaPavlovic",2020-09-14,"17:25:11",48,33,"Negativa"
"16","advertencia",-3,"warning",1305349737197916160,"ClaudiaPavlovic",2020-09-14,"03:36:44",49,42,"Negativa"
"17","afecto",3,"affection",1325595110961152000,"lopezobrador_",2020-11-09,"00:24:37",17581,4045,"Positiva"
"18","afecto",3,"affection",1320096293134299136,"lopezobrador_",2020-10-24,"20:14:17",11909,2174,"Positiva"
"19","alegría",3,"glee",1334665670433247232,"ClaudiaPavlovic",2020-12-04,"01:07:47",97,48,"Positiva"
"20","alegría",3,"glee",1337563075130494976,"lopezobrador_",2020-12-12,"01:01:02",16425,3897,"Positiva"
"21","alegría",3,"joy",1334665670433247232,"ClaudiaPavlovic",2020-12-04,"01:07:47",97,48,"Positiva"
"22","alegría",3,"joy",1337563075130494976,"lopezobrador_",2020-12-12,"01:01:02",16425,3897,"Positiva"
"23","alegría",3,"mirth",1334665670433247232,"ClaudiaPavlovic",2020-12-04,"01:07:47",97,48,"Positiva"
"24","alegría",3,"mirth",1337563075130494976,"lopezobrador_",2020-12-12,"01:01:02",16425,3897,"Positiva"
"25","alegría",4,"rejoicing",1334665670433247232,"ClaudiaPavlovic",2020-12-04,"01:07:47",97,48,"Positiva"
