"","Fecha","CelidaLopezc","ClaudiaPavlovic","lopezobrador_"
"1",2020-08-28,0.666666666666667,0.882352941176471,-0.5
"2",2020-08-29,4.33333333333333,-0.2,0.5
"3",2020-08-30,NA,-0.25,2.33333333333333
"4",2020-08-31,NA,-0.714285714285714,1
"5",2020-09-01,NA,0,0.333333333333333
"6",2020-09-02,NA,-0.571428571428571,2.5
"7",2020-09-03,NA,-0.1,0
"8",2020-09-04,NA,-0.75,1
"9",2020-09-05,NA,-0.833333333333333,0
"10",2020-09-06,NA,-1.625,0
"11",2020-09-07,NA,-0.444444444444444,0
"12",2020-09-08,NA,1.66666666666667,-2.5
"13",2020-09-09,NA,NA,2
"14",2020-09-10,NA,0.571428571428571,5
"15",2020-09-11,NA,-1.66666666666667,-5
"16",2020-09-12,NA,0.875,0
"17",2020-09-13,NA,-1.2,2
"18",2020-09-14,NA,-1.77777777777778,0
"19",2020-09-15,NA,0.444444444444444,0
"20",2020-09-16,1.2,-0.4,-1
"21",2020-09-17,0,-0.875,0
"22",2020-09-18,0.5,1.14285714285714,1
"23",2020-09-19,2.33333333333333,-2,-4
"24",2020-09-20,2,1.16666666666667,1
"25",2020-09-21,2.66666666666667,-3.33333333333333,2.66666666666667
"26",2020-09-22,NA,-0.5,-2
"27",2020-09-23,NA,-1.4,-1
"28",2020-09-24,NA,-0.333333333333333,3
"29",2020-09-25,NA,0.125,1
"30",2020-09-26,NA,0.6,0
"31",2020-09-27,NA,0,3
"32",2020-09-28,NA,0.375,0
"33",2020-09-29,NA,0.25,-0.714285714285714
"34",2020-09-30,NA,-0.444444444444444,0
"35",2020-10-01,NA,-0.625,-0.5
"36",2020-10-02,NA,0,-16
"37",2020-10-03,NA,0.285714285714286,0
"38",2020-10-04,NA,-0.6,-2.4
"39",2020-10-05,NA,NA,2
"40",2020-10-06,NA,0.333333333333333,-4
"41",2020-10-07,NA,0.428571428571429,2
"42",2020-10-08,NA,-0.222222222222222,6
"43",2020-10-09,0,-0.666666666666667,0
"44",2020-10-10,1.4,-1,0
"45",2020-10-11,2,-0.333333333333333,1
"46",2020-10-12,0,-0.666666666666667,-1.33333333333333
"47",2020-10-13,-4,0.333333333333333,-7
"48",2020-10-14,1,-0.8,0
"49",2020-10-15,1.42857142857143,0.125,6
"50",2020-10-16,1.5,-1.33333333333333,0
"51",2020-10-17,2,-2,0
"52",2020-10-18,-1,-1.5,0
"53",2020-10-19,NA,-0.5,0
"54",2020-10-20,NA,-0.9,-6
"55",2020-10-21,NA,-1.2,2
"56",2020-10-22,NA,0,0
"57",2020-10-23,NA,-0.666666666666667,0
"58",2020-10-24,NA,1.22222222222222,3.5
"59",2020-10-25,NA,-1.25,1
"60",2020-10-26,NA,0.545454545454545,1
"61",2020-10-27,NA,0.777777777777778,-6
"62",2020-10-28,0,1.11111111111111,1.5
"63",2020-10-29,0.4,2,0
"64",2020-10-30,1,-0.333333333333333,0.5
"65",2020-10-31,2.66666666666667,0.25,0
"66",2020-11-01,2,-2,NA
"67",2020-11-02,2.5,-0.6,NA
"68",2020-11-03,-0.666666666666667,1.2,-2.5
"69",2020-11-04,1,-3.25,5
"70",2020-11-05,-1,-0.333333333333333,-2
"71",2020-11-06,0,-0.75,0
"72",2020-11-07,1,-2.5,-1
"73",2020-11-08,0,-0.2,-1
"74",2020-11-09,0,0.833333333333333,0
"75",2020-11-10,2,-0.4,-1
"76",2020-11-11,0,-1.5,0
"77",2020-11-12,0,0.125,1
"78",2020-11-13,NA,1.66666666666667,0
"79",2020-11-14,NA,-0.8,1
"80",2020-11-15,NA,-2.75,0
"81",2020-11-16,NA,1.5,0
"82",2020-11-17,NA,-0.5,3
"83",2020-11-18,NA,-1.25,0
"84",2020-11-19,NA,-0.6,-0.5
"85",2020-11-20,0,-1.2,1
"86",2020-11-21,-6,-1,0
"87",2020-11-22,4,-3.5,-1.5
"88",2020-11-23,1.5,-3.75,-2.25
"89",2020-11-24,-1,-0.857142857142857,6
"90",2020-11-25,-1.4,-0.6,-1
"91",2020-11-26,-0.5,-0.285714285714286,0
"92",2020-11-27,0,-1,-1
"93",2020-11-28,3.5,-1.5,NA
"94",2020-11-29,2.66666666666667,-2,0
"95",2020-11-30,2,-1.6,0
"96",2020-12-01,1.33333333333333,0,0
"97",2020-12-02,1,-2.16666666666667,0.5
"98",2020-12-03,-2,0.428571428571429,1
"99",2020-12-04,0,1.33333333333333,-3
"100",2020-12-05,NA,-1.4,0
"101",2020-12-06,2,0,3
"102",2020-12-07,-2.5,-3,0
"103",2020-12-08,0.8,-0.857142857142857,-4.5
"104",2020-12-09,-0.5,0.2,0
"105",2020-12-10,0,-1.33333333333333,0
"106",2020-12-11,2.5,-0.2,0.666666666666667
"107",2020-12-12,3.5,0.888888888888889,8.5
"108",2020-12-13,2,-1.5,0
"109",2020-12-14,3,-4,-1.33333333333333
"110",2020-12-15,2,-3,NA
